000001. Cortina | 12 | 27.0 | centimetros
000002. Cortina | 14 | 32.0 | centimetros
000003. Cortina | 9 | 22.0 | centimetros
000004. Alfombra | 6 | 53.0 | metros
000005. Alfombra | 4 | 63.0 | metros
000006. Alfombra | 8 | 58.0 | metros
000007. Cojin | 21 | 13.0 | unidades
000008. Cojin | 26 | 17.0 | unidades
000009. Cojin | 31 | 14.0 | unidades
000010. Cojin | 13 | 19.0 | unidades
000001. Cortina | 12 | 27.0 | centimetros
000002. Cortina | 14 | 32.0 | centimetros
000003. Cortina | 9 | 22.0 | centimetros
000004. Alfombra | 6 | 53.0 | metros
000005. Alfombra | 4 | 63.0 | metros
000006. Alfombra | 8 | 58.0 | metros
000007. Cojin | 21 | 13.0 | unidades
000008. Cojin | 26 | 17.0 | unidades
000009. Cojin | 31 | 14.0 | unidades
000010. Cojin | 13 | 19.0 | unidades
000001. Cortina | 12 | 27.0 | centimetros
000002. Cortina | 14 | 32.0 | centimetros
000003. Cortina | 9 | 22.0 | centimetros
000004. Alfombra | 6 | 53.0 | metros
000005. Alfombra | 4 | 63.0 | metros
000006. Alfombra | 8 | 58.0 | metros
000007. Cojin | 21 | 13.0 | unidades
000008. Cojin | 26 | 17.0 | unidades
000009. Cojin | 31 | 14.0 | unidades
000010. Cojin | 13 | 19.0 | unidades
